Pais;Casos;Muertes;Poblacion;Codigo;Continente;Saneamiento;Alcohol;Sarampion
Niger;2258;80;23310719;NER;Africa;15;0.6;2754
Nigeria;73175;1197;200963603;NGA;Africa;43;13;8877
North Macedonia;73638;2121;2077132;MKD;Europe;98;7.5;0
Norway;40022;387;5328212;NOR;Europe;98;7.8;4
Oman;126240;1471;4974992;OMN;Asia;99;0.8;0
Pakistan;440787;8832;216565317;PAK;Asia;68;0.3;2747
Palestine;124657;1079;4981422;PSE;Asia;99;0;0
Panama;193007;3356;4246440;PAN;America;85;8;0
Papua New Guinea;725;8;8776119;PNG;Oceania;19;1.2;4
Paraguay;93582;1953;7044639;PRY;America;93;8.3;0
Peru;984973;36677;32510462;PER;America;79;6.3;0
Philippines;449400;8733;108116622;PHL;Asia;82;6.8;3832
Poland;1135676;22864;37972812;POL;Europe;100;12;0
Portugal;348744;5559;10276617;PRT;Europe;100;11.8;0
Qatar;140961;240;2832071;QAT;Asia;100;2.1;3
Romania;556335;13385;19414458;ROU;Europe;87;13.2;1004
Russia;2653928;46941;145872260;RUS;Europe;89;12.3;1212
Rwanda;6659;56;12626938;RWA;Africa;69;8.4;108
Saint Kitts and Nevis;27;0;52834;KNA;America;0;9.7;0
Saint Lucia;275;4;182795;LCA;America;83;9.6;0
Saint Vincent and the Grenadines;98;0;110593;VCT;America;0;8.4;0
San Marino;1947;51;34453;SMR;Europe;100;0;0
Sao Tome and Principe;1009;17;215048;STP;Africa;48;7.1;0
Saudi Arabia;359888;6048;34268529;SAU;Asia;100;0.2;35
Senegal;17075;349;16296362;SEN;Africa;57;0.7;212
Serbia;266432;2331;6963764;SRB;Europe;98;11.3;0
Seychelles;187;0;97741;SYC;Africa;100;11.2;27
Sierra Leone;2440;75;7813207;SLE;Africa;17;5.2;17
Singapore;58320;29;5804343;SGP;Asia;100;2;0
Slovakia;132984;1175;5450421;SVK;Europe;98;11.2;0
Slovenia;96314;1459;2080908;SVN;Europe;98;11.6;6
Solomon Islands;17;0;669821;SLB;Oceania;35;1.3;0
Somalia;4579;121;15442906;SOM;Africa;39;0;2531
South Africa;860964;23276;58558267;ZAF;Africa;78;9.2;40
South Korea;43484;587;51225321;KOR;Asia;100;10.4;0
South Sudan;3206;62;11062114;SSD;Africa;16;0;1290
Spain;1730575;47624;46937060;ESP;Europe;100;9.6;89
Sri Lanka;32790;152;21323734;LKA;Asia;94;4.6;2
Sudan;21386;1347;42813237;SDN;Africa;37;0;401
Suriname;5353;117;581363;SUR;America;90;5.1;0
Sweden;320098;7514;10230185;SWE;Europe;99;9.8;5
Switzerland;372329;5378;8544527;CHE;Europe;100;10.9;37
Syria;9166;518;17070132;SYR;Asia;90;0.3;15
Tajikistan;12704;88;9321023;TJK;Asia;97;4;0
Thailand;4237;60;69625581;THA;Asia;99;8.7;0
Timor Leste;31;0;1293120;TLS;Asia;57;3.8;2
Togo;3251;66;8082359;TGO;Africa;19;3.1;91
Trinidad and Tobago;6879;122;1394969;TTO;America;94;9;0
Tunisia;111361;3894;11694721;TUN;Africa;97;2;20
Turkey;995471;16199;82003882;TUR;Europe;99;1.9;0
Uganda;27532;221;44269587;UGA;Africa;20;9.8;314
Ukraine;900666;15247;43993643;UKR;Europe;98;9.5;264
United Arab Emirates;184949;617;9770526;ARE;Asia;99;4.2;50
United Kingdom;1849403;64170;66647112;GBR;Europe;99;11.5;95
United Republic of Tanzania;509;21;58005461;TZA;Africa;32;9.6;127
United States of America;16256754;299177;329064917;USA;America;100;10.1;1275
Uruguay;9708;92;3461731;URY;America;98;12.1;2
Uzbekistan;75094;612;32981715;UZB;Asia;100;2.6;4103
Vanuatu;1;0;299882;VUT;Oceania;53;1.4;0
Venezuela;107177;949;28515829;VEN;America;96;4.5;0
Vietnam;1397;35;96462108;VNM;Asia;89;9.9;846
Yemen;2083;606;29161922;YEM;Asia;54;0.1;298
Zambia;18274;367;17861034;ZMB;Africa;32;4.8;237
Zimbabwe;11246;307;14645473;ZWE;Africa;35;4.5;3
